topic,sentence_ro,annotation,label_calin,label_diana,label_mihai,label_daniel,label_tudor
minimum wage,Mulți lucrători necalificați nu vor putea găsi de lucru și li se va refuza o pregătire valoroasă la locul de muncă și posibilitatea de a dobândi experiență și abilități.,Argument_against,contra,contra,contra,contra,contra
minimum wage,"În sectorul de afaceri, preocupările includ creșterea preconizată a costurilor de desfășurare a afacerilor, amenințările la adresa profitabilității, nivelurile în creștere ale șomajului (și cheltuielile guvernamentale mai mari ulterioare pentru beneficiile sociale, creșterea cotelor de impozitare) și posibilele efecte secundare asupra salariilor lucrătorilor mai experimentați care ar putea câștiga deja noul salariu minim legal mai mult sau.",Argument_against,contra,contra,contra,neutru,contra
minimum wage,Adevărul este că legile privind salariul minim blochează tinerii de pe piața muncii.,Argument_against,contra,contra,contra,contra,contra
minimum wage,"Daniel B. Klein şi Stewart Dompe concluzionează , pe baza anchetelor anterioare , "" nivelul mediu de sprijin pentru salariul minim este ceva mai mare în rândul economiştilor de muncă decât în ​​rândul membrilor AEA "" .",NoArgument,neutru,neutru,neutru,neutru,neutru
minimum wage,Marjele de profit pe care le experimentează aceste mari companii pot rezista cu ușurință la o creștere a salariilor fără a fi nevoie să o transfere consumatorului.,Argument_for,pro,pro,pro,pro,pro
minimum wage,Această coloană îi privește pe cei care se opun.,NoArgument,neutru,neutru,contra,neutru,neutru
minimum wage,Un alt motiv pentru care salariul minim poate să nu afecteze ocuparea forței de muncă în anumite industrii este faptul că cererea pentru produsul produs de angajați este foarte inelastică.,Argument_for,pro,pro,pro,pro,pro
minimum wage,Asociația și francizații doresc să fie recunoscuți ca întreprinderi mai mici pentru a avea mai mult timp pentru a crește salariile treptat la 15 USD până în 2021.,NoArgument,neutru,contra,neutru,neutru,neutru
minimum wage,"Această tendință a fost mai pronunțată în sectoarele fast-food și hotelier – mai mult de 80% dintre proprietarii de fast-food francizați au declarat că ar avea mai multe șanse să reducă angajările, față de 58% dintre proprietarii de restaurante non-fast-food.",Argument_against,contra,contra,pro,contra,contra
minimum wage,Salariul minim nu a ținut pasul cu costul mediu al vieții (COLA).,Argument_for,pro,pro,pro,contra,pro
minimum wage,Acest lucru contează deoarece angajatorii cu salarii mici nu sunt doar angajatori.,NoArgument,neutru,neutru,neutru,neutru,neutru
