source,target,topic,relation,weight,source_stance,target_stance,source_sentence,target_sentence
9,12,nuclear energy,support,0.6553226709365845,contra,contra,"Prin urmare, sunt necesare soluții costisitoare pentru a proteja Mama Pământ de efectele devastatoare ale energiei nucleare.","Deși nicio tehnologie nu poate fi perfect sigură, energia nucleară este o tehnologie în mod inerent riscantă, iar reducerea la minimum a riscurilor necesită standarde și practici stricte de siguranță."
12,18,nuclear energy,support,0.7464886903762817,contra,contra,"Deși nicio tehnologie nu poate fi perfect sigură, energia nucleară este o tehnologie în mod inerent riscantă, iar reducerea la minimum a riscurilor necesită standarde și practici stricte de siguranță.","Cu toate acestea, exploatarea centralelor nucleare mai mult decât a fost planificat inițial poate fi destul de periculoasă, deoarece orice instalație sau aparat tehnic devine de obicei mai supărătoare spre sfârșitul speranței de viață planificate."
15,18,nuclear energy,support,0.6678841710090637,contra,contra,Industria nucleară și cei care pretind să o reglementeze au minimizat potențialul unui astfel de accident.,"Cu toate acestea, exploatarea centralelor nucleare mai mult decât a fost planificat inițial poate fi destul de periculoasă, deoarece orice instalație sau aparat tehnic devine de obicei mai supărătoare spre sfârșitul speranței de viață planificate."
23,44,minimum wage,support,0.779879093170166,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
23,33,minimum wage,support,0.737419843673706,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,Adevărul este că legile privind salariul minim blochează tinerii de pe piața muncii.
23,37,minimum wage,support,0.6618317365646362,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
24,37,minimum wage,attack,0.806354284286499,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
24,38,minimum wage,attack,0.7737269401550293,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Concurența se va intensifica: dacă salariul minim crește, persoanele prea calificate vor lupta pentru poziții cu salariul minim, împingând lucrătorii mai tineri și fără experiență din competiție și răpindu-le oportunitatea de a câștiga experiență și cunoștințe pentru a-și construi un CV și a intra în forța de muncă."
24,29,minimum wage,support,0.7317509651184082,pro,pro,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","O creștere a salariului minim va pune mai mulți bani în buzunarele mai multor familii, care vor fi cheltuiți pe bunuri și servicii, stimulând creșterea economică la nivel local și național."
24,40,minimum wage,support,0.698901355266571,pro,pro,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","James Dorn, PhD, Senior Fellow la Institutul Cato, a declarat că o creștere cu 10% a salariului minim „conduce la o scădere cu 1 până la 3% a angajării lucrătorilor slab calificați” pe termen scurt și „la o scădere mai mare pe termen lung”."
24,41,minimum wage,attack,0.6788642406463623,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
26,36,minimum wage,support,0.9161089062690735,pro,pro,"Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar dăuna restaurantelor.","Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar duce la pierderea locurilor de muncă în restaurante."
