source,target,topic,similarity,heuristic_relation,relation_label,source_stance,target_stance,source_sentence,target_sentence
167,319,minimum wage,0.813266396522522,attack,,pro,contra,"De exemplu , salariile mai mari tind să reducă cifra de afaceri , astfel încât angajatorii vor economisi la angajarea și formarea de noi angajați .","Pierderile de locuri de muncă ar putea apărea ca urmare a salariilor mai mari care pun o presiune mai mare asupra companiilor, ceea ce ar putea duce la tăierea locurilor de muncă, reducerea orelor de muncă și la alte metode de economisire a banilor companiei."
167,196,minimum wage,0.7640968561172485,support,,pro,pro,"De exemplu , salariile mai mari tind să reducă cifra de afaceri , astfel încât angajatorii vor economisi la angajarea și formarea de noi angajați .","Aceasta înseamnă că lucrătorii sunt mai puțin probabil să își caute un nou loc de muncă, să facă cereri de plată sau să renunțe definitiv."
167,283,minimum wage,0.7570244073867798,attack,,pro,contra,"De exemplu , salariile mai mari tind să reducă cifra de afaceri , astfel încât angajatorii vor economisi la angajarea și formarea de noi angajați .","Ar putea dura timp pentru angajatorii cu salarii mici să dezvolte modele de afaceri care să le permită să scape cu mai puțini angajați mai puțin calificați , ceea ce înseamnă că nu vedem imediat efectul total al unei creșteri ."
169,331,minimum wage,0.7862362861633301,attack,,pro,contra,Salariul minim actual este nu este un salariu de trai .,Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
169,324,minimum wage,0.7761601209640503,attack,,pro,contra,Salariul minim actual este nu este un salariu de trai .,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
169,285,minimum wage,0.7660786509513855,attack,,pro,contra,Salariul minim actual este nu este un salariu de trai .,Salariul minim nu este un remediu pentru sărăcie.
174,224,minimum wage,0.8078153133392334,support,,pro,pro,"În 2014, susținătorii salariului minim au citat un studiu care a constatat că crearea de locuri de muncă în Statele Unite este mai rapidă în statele care și-au crescut salariul minim.","În 2014, susținătorii salariului minim au citat organizațiile de știri care au raportat că statul cu cel mai mare salariu minim a generat mai multe locuri de muncă decât restul Statelor Unite."
174,250,minimum wage,0.7780092358589172,attack,,pro,contra,"În 2014, susținătorii salariului minim au citat un studiu care a constatat că crearea de locuri de muncă în Statele Unite este mai rapidă în statele care și-au crescut salariul minim.","De fapt, cele mai actuale cercetări arată că un salariu minim mai mare crește șomajul; cu toate acestea, realitatea economică mai importantă este că un salariu minim mai mare crește costul forței de muncă slab calificate."
174,240,minimum wage,0.7035632133483887,support,,pro,pro,"În 2014, susținătorii salariului minim au citat un studiu care a constatat că crearea de locuri de muncă în Statele Unite este mai rapidă în statele care și-au crescut salariul minim.","Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. """
175,328,minimum wage,0.821940541267395,attack,,pro,contra,Un alt motiv pentru care salariul minim poate să nu afecteze ocuparea forței de muncă în anumite industrii este faptul că cererea pentru produsul produs de angajați este foarte inelastică.,"Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
175,277,minimum wage,0.8123345375061035,attack,,pro,contra,Un alt motiv pentru care salariul minim poate să nu afecteze ocuparea forței de muncă în anumite industrii este faptul că cererea pentru produsul produs de angajați este foarte inelastică.,"Întreprinderile sunt uneori forțate să angajeze mai puțini angajați, deoarece trebuie să plătească salariul minim."
175,324,minimum wage,0.7675292491912842,attack,,pro,contra,Un alt motiv pentru care salariul minim poate să nu afecteze ocuparea forței de muncă în anumite industrii este faptul că cererea pentru produsul produs de angajați este foarte inelastică.,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
176,233,minimum wage,0.7624880075454712,support,,pro,pro,"Această politică este mai orientată împotriva sărăciei decât a salariului minim, deoarece evită subvenționarea lucrătorilor cu venituri mici care sunt întreținute de gospodăriile cu venituri mari (de exemplu, adolescenții care încă locuiesc cu părinții lor).",Creșterea salariului minim înseamnă că unii dintre acești oameni ar fi capabili să se întrețină mai bine fără a se sprijini atât de mult pe programele sociale și acest lucru ar însemna în cele din urmă impozite mai mici sau o realocare a acelor fonduri pentru a sprijini alte nevoi.
176,291,minimum wage,0.7094008922576904,attack,,pro,contra,"Această politică este mai orientată împotriva sărăciei decât a salariului minim, deoarece evită subvenționarea lucrătorilor cu venituri mici care sunt întreținute de gospodăriile cu venituri mari (de exemplu, adolescenții care încă locuiesc cu părinții lor).",Pentru că există alternative mult mai bune pentru a ajuta familiile sărace și pentru că salariul minim este o abordare necinstită care ascunde adevăratul cost al politicii.
176,311,minimum wage,0.6949300169944763,attack,,pro,contra,"Această politică este mai orientată împotriva sărăciei decât a salariului minim, deoarece evită subvenționarea lucrătorilor cu venituri mici care sunt întreținute de gospodăriile cu venituri mari (de exemplu, adolescenții care încă locuiesc cu părinții lor).",O creștere a salariului minim este pur și simplu o modalitate ineficientă de a ajuta americanii să iasă din sărăcie.
177,190,minimum wage,0.7259814739227295,support,,pro,pro,"Dacă salariile ar fi ținut pasul cu productivitatea, studiile sugerează că ar fi ajuns la 21,72 USD/oră până în 2012.","Potrivit Institutului de Politică Economică , salariul minim în Statele Unite ar fi fost de 18,28 USD în 2013 dacă salariul minim ar fi ținut pasul cu productivitatea muncii ."
