source,target,topic,similarity,heuristic_relation,relation_label,source_stance,target_stance,source_sentence,target_sentence
23,44,minimum wage,0.779879093170166,support,,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
23,33,minimum wage,0.737419843673706,support,,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,Adevărul este că legile privind salariul minim blochează tinerii de pe piața muncii.
23,37,minimum wage,0.6618317365646362,support,,contra,contra,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
24,37,minimum wage,0.806354284286499,attack,,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început."
24,38,minimum wage,0.7737269401550293,attack,,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Concurența se va intensifica: dacă salariul minim crește, persoanele prea calificate vor lupta pentru poziții cu salariul minim, împingând lucrătorii mai tineri și fără experiență din competiție și răpindu-le oportunitatea de a câștiga experiență și cunoștințe pentru a-și construi un CV și a intra în forța de muncă."
24,29,minimum wage,0.7317509651184082,support,,pro,pro,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","O creștere a salariului minim va pune mai mulți bani în buzunarele mai multor familii, care vor fi cheltuiți pe bunuri și servicii, stimulând creșterea economică la nivel local și național."
26,36,minimum wage,0.9161089062690735,support,,pro,pro,"Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar dăuna restaurantelor.","Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar duce la pierderea locurilor de muncă în restaurante."
28,42,minimum wage,0.6641375422477722,attack,,pro,contra,"Potrivit James K. Galbraith, PhD, profesor de guvernare la Universitatea Texas din Austin, „[b] deoarece veniturile din salarii și impozitele pe venit ar crește [ca urmare a unei creșteri a salariului minim], deficitul federal ar scădea.”",Creșterea salariului minim federal ar dăuna în mod disproporționat celor mai sărace zone ale Statelor Unite.
29,31,minimum wage,0.7030231952667236,support,,pro,pro,"O creștere a salariului minim va pune mai mulți bani în buzunarele mai multor familii, care vor fi cheltuiți pe bunuri și servicii, stimulând creșterea economică la nivel local și național.",Creșterea salariului minim federal este o parte importantă a consolidării economiei.
37,44,minimum wage,0.742968738079071,support,,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.",Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
37,41,minimum wage,0.7268943786621094,support,,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.","Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
37,38,minimum wage,0.7040930986404419,support,,contra,contra,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.","Concurența se va intensifica: dacă salariul minim crește, persoanele prea calificate vor lupta pentru poziții cu salariul minim, împingând lucrătorii mai tineri și fără experiență din competiție și răpindu-le oportunitatea de a câștiga experiență și cunoștințe pentru a-și construi un CV și a intra în forța de muncă."
24,40,minimum wage,0.698901355266571,support,,pro,pro,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","James Dorn, PhD, Senior Fellow la Institutul Cato, a declarat că o creștere cu 10% a salariului minim „conduce la o scădere cu 1 până la 3% a angajării lucrătorilor slab calificați” pe termen scurt și „la o scădere mai mare pe termen lung”."
24,41,minimum wage,0.6788642406463623,attack,,pro,contra,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați."
41,44,minimum wage,0.6614207029342651,support,,contra,contra,"Mai puține angajări: dacă afacerile trebuie să plătească salariul minim mai mult angajaților, nu își pot permite să angajeze atât de mulți angajați.",Nu este adevărat: muncitorul obișnuit cu salariul minim nu este un elev de liceu care câștigă bani de buzunar în weekend.
21,35,minimum wage,0.21952328085899353,no_relation,,pro,contra,"Un raport din 2015 al Alianței pentru o Societate Justă, a constatat că „salariul minim federal de 7,25 dolari pe oră reprezintă mai puțin de jumătate din salariul de trai pentru un singur adult”, iar un muncitor care se întreține numai pe sine ar trebui să lucreze 93 de ore pe săptămână la salariul minim federal pentru a-și face rostul „sau să sară peste nevoi precum mese sau medicamente”.",De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.
22,43,minimum wage,0.14982689917087555,no_relation,,pro,pro,"În 2012, cel mai bogat 1% din populația SUA a câștigat 22,83% din venitul total înainte de impozitare al națiunii, rezultând cel mai mare decalaj dintre bogați și săraci din anii 1920.","Unii angajați ai organizației nonprofit din zona Seattle, Full Life Care, au cerut o reducere a orelor după ce a fost majorat salariul minim, invocând îngrijorarea că creșterea va însemna că își vor pierde subvențiile pentru locuințe, dar încă nu își pot permite chirii la prețul pieței."
23,27,minimum wage,0.20148731768131256,no_relation,,contra,pro,Este un mit că salariul minim este doar pentru adolescenți și pentru lucrătorii de nivel începător.,"Cu toate acestea, în apelul său de a crește treptat minimul federal actual, președintele Obama a cerut și ca acesta să se ajusteze automat cu inflația."
24,39,minimum wage,0.2663540244102478,no_relation,,pro,pro,"Cercetările sugerează că o creștere a salariului minim ar putea avea un mic efect stimulativ asupra economiei, deoarece lucrătorii cu salarii mici își cheltuiesc veniturile suplimentare, crescând cererea și creșterea locurilor de muncă și oferind ajutor în ceea ce privește locurile de muncă. ""","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
25,39,minimum wage,0.04206514731049538,no_relation,,pro,pro,"Adolescenții care trăiesc în sărăcie au de două ori mai multe șanse să rateze trei sau mai multe zile de școală pe lună în comparație cu cei care nu o fac; astfel, creșterea salariului minim și scoaterea familiilor din sărăcie ar însemna că copiii vor lipsi mai puține zile de școală.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
26,27,minimum wage,0.27142706513404846,no_relation,,pro,pro,"Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar dăuna restaurantelor.","Cu toate acestea, în apelul său de a crește treptat minimul federal actual, președintele Obama a cerut și ca acesta să se ajusteze automat cu inflația."
27,39,minimum wage,0.1675945222377777,no_relation,,pro,pro,"Cu toate acestea, în apelul său de a crește treptat minimul federal actual, președintele Obama a cerut și ca acesta să se ajusteze automat cu inflația.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
28,39,minimum wage,0.234686017036438,no_relation,,pro,pro,"Potrivit James K. Galbraith, PhD, profesor de guvernare la Universitatea Texas din Austin, „[b] deoarece veniturile din salarii și impozitele pe venit ar crește [ca urmare a unei creșteri a salariului minim], deficitul federal ar scădea.”","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
29,39,minimum wage,0.30932652950286865,no_relation,,pro,pro,"O creștere a salariului minim va pune mai mulți bani în buzunarele mai multor familii, care vor fi cheltuiți pe bunuri și servicii, stimulând creșterea economică la nivel local și național.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
30,35,minimum wage,0.22992020845413208,no_relation,,pro,contra,"Sondajele efectuate din februarie 2013, când președintele Obama a cerut pentru prima dată Congresului să majoreze salariul minim, au arătat în mod constant că o majoritate covârșitoare a americanilor susțin o creștere.",De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.
31,35,minimum wage,0.16740749776363373,no_relation,,pro,contra,Creșterea salariului minim federal este o parte importantă a consolidării economiei.,De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.
32,39,minimum wage,0.09036166965961456,no_relation,,pro,pro,"Deoarece firmelor li se permite să plătească salarii la nivelul sărăciei pentru 3,6 milioane de oameni -- 5% din forța de muncă -- acești lucrători trebuie să se bazeze pe programele federale de sprijinire a veniturilor.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
33,39,minimum wage,0.04128872603178024,no_relation,,contra,pro,Adevărul este că legile privind salariul minim blochează tinerii de pe piața muncii.,"NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
34,39,minimum wage,0.1598188877105713,no_relation,,contra,pro,"Thomas Grennes , MA , profesor emerit la Universitatea de Stat din Carolina de Nord , și Andris Strazds , MSc , lector la Stockholm School of Economics din Riga ( Letonia ) , au declarat: „efectul net al salariilor minime mai mari ar fi nefavorabil pentru gospodăriile sărace, chiar dacă nu există pierderi de locuri de muncă.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
35,39,minimum wage,0.12109368294477463,no_relation,,contra,pro,De ce să arunci mai mulți bani în cineva care se mulțumește să rămână pe loc.,"NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
27,36,minimum wage,0.21516208350658417,no_relation,,pro,pro,"Cu toate acestea, în apelul său de a crește treptat minimul federal actual, președintele Obama a cerut și ca acesta să se ajusteze automat cu inflația.","Mit: Creșterea salariului minim cu bacșiș federal (2,13 dolari pe oră din 1991) ar duce la pierderea locurilor de muncă în restaurante."
37,39,minimum wage,0.21226909756660461,no_relation,,contra,pro,"Desigur, acest lucru nu înseamnă că creșterea salariului minim nu ar fi foarte benefică pentru cei care îl câștigă, dar, în cele din urmă, nu îi ajută pe cei care nu au deja un loc de muncă pentru început.","NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari."
22,38,minimum wage,0.22581958770751953,no_relation,,pro,contra,"În 2012, cel mai bogat 1% din populația SUA a câștigat 22,83% din venitul total înainte de impozitare al națiunii, rezultând cel mai mare decalaj dintre bogați și săraci din anii 1920.","Concurența se va intensifica: dacă salariul minim crește, persoanele prea calificate vor lupta pentru poziții cu salariul minim, împingând lucrătorii mai tineri și fără experiență din competiție și răpindu-le oportunitatea de a câștiga experiență și cunoștințe pentru a-și construi un CV și a intra în forța de muncă."
39,43,minimum wage,0.1428317129611969,no_relation,,pro,pro,"NBC News a descoperit că prețul unei cești de cafea a crescut cu 10 până la 20% în Oakland, California, după o creștere a salariului minim de 36% în oraș, la 12,25 dolari.","Unii angajați ai organizației nonprofit din zona Seattle, Full Life Care, au cerut o reducere a orelor după ce a fost majorat salariul minim, invocând îngrijorarea că creșterea va însemna că își vor pierde subvențiile pentru locuințe, dar încă nu își pot permite chirii la prețul pieței."
