topic,sentence_en,sentence_ro,annotation,set
nuclear energy,And it costs the federal government NOTHING more than backing the loans .,Și nu costă guvernul federal NIMIC mai mult decât susținerea împrumuturilor.,Argument_for,train
nuclear energy,"In addition , nuclear power takes up much less real estate to generate the same amount of power that wind or solar would .","În plus, energia nucleară ocupă mult mai puțin spațiu pentru a genera aceeași cantitate de energie pe care o ar face eolianul sau solarul.",Argument_for,train
nuclear energy,"Roughly 100 nuclear power plants are now operating in the United States , supplying about one-fifth of the nation 's electricity .","Aproximativ 100 de centrale nucleare funcționează acum în Statele Unite, furnizând aproximativ o cincime din energia electrică a națiunii.",Argument_for,train
nuclear energy,This is one reason why regulators in New York recently adopted a Clean Energy Standard that will provide significant yearly subsidies through 2029 to keep several existing reactors operating .,Acesta este unul dintre motivele pentru care autoritățile de reglementare din New York au adoptat recent un standard pentru energie curată care va oferi subvenții anuale semnificative până în 2029 pentru a menține în funcțiune mai multe reactoare existente.,Argument_for,train
nuclear energy,""" The more technology is available and the more different opportunities you have for reducing emissions , the less costly those pathways [ to 2 C ] tend to be , "" he said .","„Cu cât este disponibilă mai multă tehnologie și cu cât aveți mai multe oportunități diferite pentru reducerea emisiilor, cu atât aceste căi tind să fie mai puțin costisitoare”, a spus el.",Argument_for,train
nuclear energy,The additional contribution from all man-made sources of radiation is much smaller .,Contribuția suplimentară a tuturor surselor de radiații create de om este mult mai mică.,Argument_for,train
nuclear energy,"Of course it is possible that each system in this series of back-ups might fail one after the other , but the probability for that is exceedingly small .","Desigur, este posibil ca fiecare sistem din această serie de backup-uri să eșueze unul după altul, dar probabilitatea pentru aceasta este extrem de mică.",Argument_for,train
nuclear energy,"And it is incorrect to call it waste , because 95 percent of the potential energy is still contained in the used fuel after the first cycle .","Și este incorect să-i spunem deșeuri, deoarece 95% din energia potențială este încă conținută în combustibilul uzat după primul ciclu.",Argument_for,train
nuclear energy,"And nuclear energy has lower greenhouse gas emissions than other power sources , especially coal , so it is considered a clean provider of electricity .","Iar energia nucleară are emisii mai mici de gaze cu efect de seră decât alte surse de energie, în special cărbunele, deci este considerată un furnizor curat de energie electrică.",Argument_for,train
nuclear energy,"Additionally , nuclear power is a technology-intensive industry in which the United States has traditionally led the world .","În plus, energia nucleară este o industrie tehnologică intensivă în care Statele Unite au condus în mod tradițional lumea.",Argument_for,train
nuclear energy,All of these sources combined only supplied 1.3 % of global energy in 2013 as 8 billion tonnes of coal was burned annually .,"Toate aceste surse combinate au furnizat doar 1,3% din energia globală în 2013, deoarece 8 miliarde de tone de cărbune erau arse anual.",Argument_for,train
nuclear energy,Widespread commercial take up is severely limited due to popular misconceptions about the dangers of nuclear power .,Abordarea comercială pe scară largă este sever limitată din cauza concepțiilor greșite populare despre pericolele energiei nucleare.,Argument_for,train
nuclear energy,FS-MSRs operate with very low excess reactivity .,FS-MSR funcționează cu un exces de reactivitate foarte scăzut.,Argument_for,train
nuclear energy,""" The globe is going to be an increasingly high-energy planet ... and [ emerging markets ] are going to demand the same baseload energy that industrialized countries are used to . """,„Globul va fi o planetă din ce în ce mai bogată în energie... și [piețele emergente] vor cere aceeași energie de bază cu care sunt obișnuite țările industrializate.”,Argument_for,train
nuclear energy,"Organizations like the Sierra Club forcefully argue against the "" numerous issues "" that dog nuclear energy — despite the fact that , as backers point out , there has n't been an accident on U.S. soil since Three Mile Island 's meltdown in 1979 .","Organizații precum Sierra Club pledează cu forță împotriva „număroaselor probleme” care întâmpină energia nucleară – în ciuda faptului că, așa cum subliniază susținătorii, nu a existat niciun accident pe teritoriul SUA de la prăbușirea Three Mile Island în 1979.",Argument_for,train
nuclear energy,• A good wind project produces electricity only about 30 percent of the time .,Un proiect eolian bun produce energie electrică doar aproximativ 30 la sută din timp.,Argument_for,train
